country,year,series,value
Vietnam,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.53
Vietnam,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.24
Vietnam,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),40.21
Vietnam,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),40.21
Yemen,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Yemen,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),27.95
Yemen,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),27.95
Yemen,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),27.95
Zambia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),46.14
Zambia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),46.14
Zambia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.14
Zambia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),46.14
Zimbabwe,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),80.04
Zimbabwe,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),80.04
Zimbabwe,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),85.14
Zimbabwe,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),85.14
